year,discipline
1985,Literature
1985,Economics
1985,Physics
1985,Physics
1985,Biology
1985,Literature
1985,ComputerScience
1985,ComputerScience
1985,Medicine
1985,Biology
1985,PolScience
1985,ComputerScience
1985,Economics
1985,Biology
1985,ComputerScience
1985,PolScience
1985,Biology
1985,PolScience
1985,Economics
1985,Biology
1985,Physics
1985,Physics
1985,Literature
1985,ComputerScience
1985,Biology
1985,Economics
1985,PolScience
1985,Physics
1985,Biology
1985,PolScience
1985,Economics
1985,ComputerScience
1985,ComputerScience
1985,Medicine
1985,Biology
1985,Biology
1985,PolScience
1985,ComputerScience
1985,Literature
1985,Economics
1985,Literature
1985,Biology
1985,PolScience
1985,Literature
1985,Medicine
1985,Literature
1985,Medicine
1985,Biology
1985,Medicine
1985,Economics
1985,Medicine
1985,PolScience
1985,Literature
1985,Literature
1985,Economics
1985,Biology
1985,Literature
1985,Literature
1985,Literature
1985,Medicine
1985,Economics
1985,Economics
1985,Literature
1985,Physics
1985,Biology
1985,Physics
1985,Literature
1985,Medicine
1985,Physics
1985,Economics
1985,ComputerScience
1985,ComputerScience
1985,Physics
1985,PolScience
1985,Literature
1985,Physics
1985,Literature
1985,Literature
1985,Biology
1985,Physics
1985,Physics
1985,PolScience
1985,ComputerScience
1985,Biology
1985,Medicine
1985,Medicine
1985,ComputerScience
1985,Biology
1985,Economics
1985,Literature
1985,Literature
1985,Literature
1985,Literature
1985,PolScience
1985,Literature
1985,ComputerScience
1985,Physics
1985,Medicine
1985,Economics
1985,Economics
1985,Economics
1985,Biology
1985,ComputerScience
1985,PolScience
1985,Literature
1985,Biology
1985,Literature
1985,Medicine
1985,Literature
1985,Medicine
1985,Economics
1985,Medicine
1985,Physics
1985,PolScience
1985,Medicine
1985,Physics
1985,Physics
1985,Literature
1985,Literature
1985,Economics
1985,Physics
1985,Medicine
1985,PolScience
1985,Economics
1985,Literature
1985,Biology
1985,Biology
1985,Biology
1985,Physics
1985,Biology
1985,Medicine
1985,PolScience
1985,PolScience
1985,Biology
1985,PolScience
1985,Biology
1985,PolScience
1985,Literature
1985,Biology
1985,Economics
1985,ComputerScience
1985,Economics
1985,Biology
1985,Biology
1985,Biology
1985,Biology
1985,Economics
1985,Biology
1985,Economics
1985,Literature
1985,ComputerScience
1985,ComputerScience
1985,Economics
1985,Economics
1985,Physics
1985,Biology
1985,Medicine
1985,Medicine
1985,Economics
1985,Medicine
1985,Biology
1985,PolScience
1985,Literature
1985,Literature
1985,Medicine
1985,PolScience
1985,Literature
1985,ComputerScience
1985,Medicine
1985,Literature
1985,ComputerScience
1985,Biology
1985,Economics
1985,Economics
1985,Economics
1985,Physics
1985,ComputerScience
1985,Literature
1985,PolScience
1985,PolScience
1985,Literature
1985,Medicine
1985,PolScience
1985,ComputerScience
1985,Biology
1985,PolScience
1985,Medicine
1985,Economics
1985,Economics
1985,Literature
1985,Medicine
1985,Economics
1985,PolScience
1985,Medicine
1985,PolScience
1985,Biology
1985,Physics
1985,Biology
1985,Literature
1985,Economics
1985,Physics
1985,ComputerScience
1985,Biology
1985,ComputerScience
1985,Physics
1985,Physics
1985,ComputerScience
1985,Literature
1985,PolScience
1985,Medicine
1985,Physics
1985,ComputerScience
1985,PolScience
1985,ComputerScience
1985,Physics
1985,PolScience
1985,Economics
1985,Biology
1985,ComputerScience
1985,Medicine
1985,Economics
1985,Medicine
1985,Literature
1985,PolScience
1985,PolScience
1985,Physics
1985,Medicine
1985,Biology
1985,Economics
1985,Literature
1985,Medicine
1985,Economics
1985,Medicine
1985,Biology
1985,Literature
1985,PolScience
1985,Biology
1985,Physics
1985,Medicine
1985,Medicine
1985,ComputerScience
1985,Medicine
1985,Biology
1985,PolScience
1985,Medicine
1985,Economics
1985,Physics
1985,Biology
1985,Economics
1985,Economics
1985,Biology
1985,Economics
1985,Biology
1985,PolScience
1985,Medicine
1985,Biology
1985,Biology
1985,Biology
1985,Physics
1985,Biology
1985,Biology
1985,Economics
1985,Literature
1985,Economics
1985,Biology
1985,ComputerScience
1985,Biology
1985,Economics
1985,Economics
1985,Medicine
1985,Biology
1985,ComputerScience
1985,Medicine
1985,Medicine
1985,Biology
1985,Biology
1985,Medicine
1985,ComputerScience
1985,Economics
1985,PolScience
1985,Economics
1985,Physics
1985,PolScience
1985,Medicine
1985,Medicine
1985,Economics
1985,Physics
1985,Literature
1985,Medicine
1985,Biology
1985,Medicine
1985,Medicine
1985,ComputerScience
1985,Economics
1985,Physics
1985,PolScience
1985,ComputerScience
1985,ComputerScience
1985,Medicine
1985,ComputerScience
1985,ComputerScience
1985,Medicine
1985,PolScience
1985,Biology
1985,Medicine
1985,PolScience
1985,Economics
1985,Physics
1985,Physics
1985,Medicine
1985,Physics
1985,Biology
1985,PolScience
1985,Biology
1985,Physics
1985,Literature
1985,Literature
1985,PolScience
1985,ComputerScience
1985,Biology
1985,ComputerScience
1985,Physics
1985,Medicine
1985,Economics
1985,Economics
1985,Medicine
1985,Biology
1985,Physics
1985,Literature
1985,Economics
1985,Biology
1985,Literature
1985,Physics
1985,Literature
1985,ComputerScience
1985,Biology
1985,ComputerScience
1985,Biology
1985,Literature
1985,Biology
1985,Biology
1985,ComputerScience
1985,Economics
1985,Biology
1985,ComputerScience
1985,Economics
1985,Literature
1985,ComputerScience
1985,Biology
1985,ComputerScience
1985,Physics
1985,PolScience
1985,ComputerScience
1985,Biology
1985,Literature
1985,Biology
1985,Medicine
1985,Physics
1985,Economics
1985,Economics
1985,Biology
1985,ComputerScience
1985,Biology
1985,Economics
1985,Economics
1985,ComputerScience
1985,Physics
1985,Medicine
1985,Physics
1985,PolScience
1985,PolScience
1985,Economics
1985,Medicine
1985,Medicine
1985,Physics
1985,PolScience
1985,Medicine
1985,Economics
1985,Medicine
1985,Biology
1985,Economics
1985,Biology
1985,Literature
1985,Literature
1985,Literature
1985,Economics
1985,Physics
1985,Medicine
1985,Literature
1985,PolScience
1985,Literature
1985,ComputerScience
1985,Medicine
1985,Economics
1985,Physics
1985,Physics
1985,ComputerScience
1985,PolScience
1985,Medicine
1985,Economics
